,MAE,RMSE,R2
linear_regression,45.019207434677504,108.91586960373866,0.44660987091923565
decision_tree,39.5613154232065,130.41577700555968,0.20656866500718585
random_forest,32.54955883522367,87.67209185354086,0.6414317599921942
